"Team","W","L","WinPct","year","teamAbbr"
"Cleveland Cavaliers","57","25",0.695,2016,"CLE"
"Toronto Raptors","56","26",0.683,2016,"TOR"
"Miami Heat","48","34",0.585,2016,"MIA"
"Atlanta Hawks","48","34",0.585,2016,"ATL"
"Boston Celtics","48","34",0.585,2016,"BOS"
"Charlotte Hornets","48","34",0.585,2016,"CHA"
"Indiana Pacers","45","37",0.549,2016,"IND"
"Detroit Pistons","44","38",0.537,2016,"DET"
"Chicago Bulls","42","40",0.512,2016,"CHI"
"Washington Wizards","41","41",0.5,2016,"WAS"
"Orlando Magic","35","47",0.427,2016,"ORL"
"Milwaukee Bucks","33","49",0.402,2016,"MIL"
"New York Knicks","32","50",0.39,2016,"NY"
"Brooklyn Nets","21","61",0.256,2016,"BKN"
"Philadelphia 76ers","10","72",0.122,2016,"PHI"
"Golden State Warriors","73","9",0.89,2016,"GS"
"San Antonio Spurs","67","15",0.817,2016,"SA"
"Oklahoma City Thunder","55","27",0.671,2016,"OKC"
"Los Angeles Clippers","53","29",0.646,2016,"LAC"
"Portland Trail Blazers","44","38",0.537,2016,"POR"
"Dallas Mavericks","42","40",0.512,2016,"DAL"
"Memphis Grizzlies","42","40",0.512,2016,"MEM"
"Houston Rockets","41","41",0.5,2016,"HOU"
"Utah Jazz","40","42",0.488,2016,"UTA"
"Sacramento Kings","33","49",0.402,2016,"SAC"
"Denver Nuggets","33","49",0.402,2016,"DEN"
"New Orleans Pelicans","30","52",0.366,2016,"NO"
"Minnesota Timberwolves","29","53",0.354,2016,"MIN"
"Phoenix Suns","23","59",0.28,2016,"PHO"
"Los Angeles Lakers","17","65",0.207,2016,"LAL"
"Boston Celtics","53","29",0.646,2017,"BOS"
"Cleveland Cavaliers","51","31",0.622,2017,"CLE"
"Toronto Raptors","51","31",0.622,2017,"TOR"
"Washington Wizards","49","33",0.598,2017,"WAS"
"Atlanta Hawks","43","39",0.524,2017,"ATL"
"Milwaukee Bucks","42","40",0.512,2017,"MIL"
"Indiana Pacers","42","40",0.512,2017,"IND"
"Chicago Bulls","41","41",0.5,2017,"CHI"
"Miami Heat","41","41",0.5,2017,"MIA"
"Detroit Pistons","37","45",0.451,2017,"DET"
"Charlotte Hornets","36","46",0.439,2017,"CHA"
"New York Knicks","31","51",0.378,2017,"NY"
"Orlando Magic","29","53",0.354,2017,"ORL"
"Philadelphia 76ers","28","54",0.341,2017,"PHI"
"Brooklyn Nets","20","62",0.244,2017,"BKN"
"Golden State Warriors","67","15",0.817,2017,"GS"
"San Antonio Spurs","61","21",0.744,2017,"SA"
"Houston Rockets","55","27",0.671,2017,"HOU"
"Los Angeles Clippers","51","31",0.622,2017,"LAC"
"Utah Jazz","51","31",0.622,2017,"UTA"
"Oklahoma City Thunder","47","35",0.573,2017,"OKC"
"Memphis Grizzlies","43","39",0.524,2017,"MEM"
"Portland Trail Blazers","41","41",0.5,2017,"POR"
"Denver Nuggets","40","42",0.488,2017,"DEN"
"New Orleans Pelicans","34","48",0.415,2017,"NO"
"Dallas Mavericks","33","49",0.402,2017,"DAL"
"Sacramento Kings","32","50",0.39,2017,"SAC"
"Minnesota Timberwolves","31","51",0.378,2017,"MIN"
"Los Angeles Lakers","26","56",0.317,2017,"LAL"
"Phoenix Suns","24","58",0.293,2017,"PHO"
"Toronto Raptors","59","23",0.72,2018,"TOR"
"Boston Celtics","55","27",0.671,2018,"BOS"
"Philadelphia 76ers","52","30",0.634,2018,"PHI"
"Cleveland Cavaliers","50","32",0.61,2018,"CLE"
"Indiana Pacers","48","34",0.585,2018,"IND"
"Miami Heat","44","38",0.537,2018,"MIA"
"Milwaukee Bucks","44","38",0.537,2018,"MIL"
"Washington Wizards","43","39",0.524,2018,"WAS"
"Detroit Pistons","39","43",0.476,2018,"DET"
"Charlotte Hornets","36","46",0.439,2018,"CHA"
"New York Knicks","29","53",0.354,2018,"NY"
"Brooklyn Nets","28","54",0.341,2018,"BKN"
"Chicago Bulls","27","55",0.329,2018,"CHI"
"Orlando Magic","25","57",0.305,2018,"ORL"
"Atlanta Hawks","24","58",0.293,2018,"ATL"
"Houston Rockets","65","17",0.793,2018,"HOU"
"Golden State Warriors","58","24",0.707,2018,"GS"
"Portland Trail Blazers","49","33",0.598,2018,"POR"
"Oklahoma City Thunder","48","34",0.585,2018,"OKC"
"Utah Jazz","48","34",0.585,2018,"UTA"
"New Orleans Pelicans","48","34",0.585,2018,"NO"
"San Antonio Spurs","47","35",0.573,2018,"SA"
"Minnesota Timberwolves","47","35",0.573,2018,"MIN"
"Denver Nuggets","46","36",0.561,2018,"DEN"
"Los Angeles Clippers","42","40",0.512,2018,"LAC"
"Los Angeles Lakers","35","47",0.427,2018,"LAL"
"Sacramento Kings","27","55",0.329,2018,"SAC"
"Dallas Mavericks","24","58",0.293,2018,"DAL"
"Memphis Grizzlies","22","60",0.268,2018,"MEM"
"Phoenix Suns","21","61",0.256,2018,"PHO"
